"score","coverage","variants","original_variants","format","original_build","action"
"PGS000001","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000002","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000003","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000004","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000005","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000006","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000007","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000008","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000009","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000010","0.81","22","27","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000011","1","50","50","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000012","0.79","38916","49310","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000013","1","6630150","6630150","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000014","1","6917436","6917436","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000015","1","5218","5218","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000016","1","6730541","6730541","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000017","1","6907112","6907112","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000018","1","1745179","1745179","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000023","1","7","7","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000025","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000026","0.94","31","33","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000027","1","2100302","2100302","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000028","0.99","85","86","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000029","1","76","76","PGS-Catalog v2 (RS_ID)","hg38","RSID_TO_COORDINATES"
"PGS000030","0.77","113","147","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
