task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	15/8d3c14	37182	PGS_CALCULATION:FILTER_BY_CATEGORY	COMPLETED	0	2026-09-18 10:05:03.510	1.2s	441ms	230.1%	37.8 MB	33 GB	6.7 MB	567 B
3	77/ab7466	37196	INPUT_VALIDATION:INPUT_VALIDATION_VCF	COMPLETED	0	2026-09-18 10:05:03.520	1m 38s	1m 37s	108.1%	586.1 MB	6.9 GB	2.3 GB	2.1 MB
2	54/950421	37174	ANCESTRY_ESTIMATION:PREPARE_TRACE	COMPLETED	0	2026-09-18 10:05:03.498	4m 7s	4m 6s	103.3%	1.1 GB	12.2 GB	1.2 GB	307 MB
18	d9/2cad1f	48350	ANCESTRY_ESTIMATION:EXECUTE_TRACE (14)	FAILED	137	2026-09-18 10:09:10.114	2m 1s	2m 1s	-	-	-	-	-
20	b2/6c957e	48375	ANCESTRY_ESTIMATION:EXECUTE_TRACE (16)	FAILED	137	2026-09-18 10:09:10.125	2m 1s	2m 1s	-	-	-	-	-
15	01/aa5e26	48361	ANCESTRY_ESTIMATION:EXECUTE_TRACE (11)	FAILED	137	2026-09-18 10:09:10.120	2m 1s	2m 1s	-	-	-	-	-
38	6a/aaa72b	48343	ANCESTRY_ESTIMATION:EXECUTE_TRACE (34)	FAILED	137	2026-09-18 10:09:10.106	2m 1s	2m 1s	-	-	-	-	-
21	62/d6f6fb	58480	ANCESTRY_ESTIMATION:EXECUTE_TRACE (17)	FAILED	137	2026-09-18 10:11:10.979	2m	2m	-	-	-	-	-
50	d7/bb72aa	58648	ANCESTRY_ESTIMATION:EXECUTE_TRACE (46)	FAILED	137	2026-09-18 10:11:11.176	2m	2m	-	-	-	-	-
23	64/ae80d4	58720	ANCESTRY_ESTIMATION:EXECUTE_TRACE (19)	FAILED	137	2026-09-18 10:11:11.212	2m 1s	2m	-	-	-	-	-
12	e2/f537e5	59284	ANCESTRY_ESTIMATION:EXECUTE_TRACE (8)	FAILED	137	2026-09-18 10:11:11.373	2m 1s	2m 1s	-	-	-	-	-
29	d8/068d5a	68732	ANCESTRY_ESTIMATION:EXECUTE_TRACE (25)	FAILED	137	2026-09-18 10:13:11.186	2m 1s	2m	-	-	-	-	-
39	80/ce5d67	68922	ANCESTRY_ESTIMATION:EXECUTE_TRACE (35)	FAILED	137	2026-09-18 10:13:11.503	2m 1s	2m 1s	-	-	-	-	-
5	3a/1c5278	70046	ANCESTRY_ESTIMATION:EXECUTE_TRACE (1)	FAILED	137	2026-09-18 10:13:12.087	2m	2m	-	-	-	-	-
6	c3/046c3c	69479	ANCESTRY_ESTIMATION:EXECUTE_TRACE (2)	FAILED	137	2026-09-18 10:13:11.772	2m 1s	2m 1s	-	-	-	-	-
24	9f/2845d3	79002	ANCESTRY_ESTIMATION:EXECUTE_TRACE (20)	FAILED	137	2026-09-18 10:15:11.696	2m 1s	2m 1s	-	-	-	-	-
13	f9/59e630	80495	ANCESTRY_ESTIMATION:EXECUTE_TRACE (9)	FAILED	137	2026-09-18 10:15:12.852	2m	2m	-	-	-	-	-
19	ac/87cc12	79792	ANCESTRY_ESTIMATION:EXECUTE_TRACE (15)	FAILED	137	2026-09-18 10:15:12.502	2m 1s	2m 1s	-	-	-	-	-
33	2c/a6af21	79572	ANCESTRY_ESTIMATION:EXECUTE_TRACE (29)	FAILED	137	2026-09-18 10:15:12.262	2m 1s	2m 1s	-	-	-	-	-
8	e6/4f7d92	88671	ANCESTRY_ESTIMATION:EXECUTE_TRACE (4)	FAILED	137	2026-09-18 10:17:12.309	2m 1s	2m 1s	-	-	-	-	-
34	de/ed8127	89403	ANCESTRY_ESTIMATION:EXECUTE_TRACE (30)	FAILED	137	2026-09-18 10:17:13.182	2m	2m	-	-	-	-	-
32	ff/573589	89391	ANCESTRY_ESTIMATION:EXECUTE_TRACE (28)	FAILED	137	2026-09-18 10:17:13.171	2m	2m	-	-	-	-	-
45	c0/25a856	89525	ANCESTRY_ESTIMATION:EXECUTE_TRACE (41)	FAILED	137	2026-09-18 10:17:13.347	2m	2m	-	-	-	-	-
42	bb/901137	97804	ANCESTRY_ESTIMATION:EXECUTE_TRACE (38)	FAILED	137	2026-09-18 10:19:12.988	2m 1s	2m 1s	-	-	-	-	-
31	b2/a69483	98724	ANCESTRY_ESTIMATION:EXECUTE_TRACE (27)	FAILED	137	2026-09-18 10:19:13.737	2m	2m	-	-	-	-	-
25	f6/0c081c	98290	ANCESTRY_ESTIMATION:EXECUTE_TRACE (21)	FAILED	137	2026-09-18 10:19:13.472	2m 1s	2m 1s	-	-	-	-	-
47	8a/b3c724	98240	ANCESTRY_ESTIMATION:EXECUTE_TRACE (43)	FAILED	137	2026-09-18 10:19:13.463	2m 1s	2m 1s	-	-	-	-	-
28	33/1b3fe3	106927	ANCESTRY_ESTIMATION:EXECUTE_TRACE (24)	FAILED	137	2026-09-18 10:21:13.781	2m 1s	2m 1s	-	-	-	-	-
11	7b/1f72c6	107090	ANCESTRY_ESTIMATION:EXECUTE_TRACE (7)	FAILED	137	2026-09-18 10:21:14.044	2m	2m	-	-	-	-	-
44	01/5f541c	108103	ANCESTRY_ESTIMATION:EXECUTE_TRACE (40)	FAILED	137	2026-09-18 10:21:14.423	2m	2m	-	-	-	-	-
46	52/486eb5	107692	ANCESTRY_ESTIMATION:EXECUTE_TRACE (42)	FAILED	137	2026-09-18 10:21:14.306	2m 1s	2m 1s	-	-	-	-	-
4	52/77f5d6	42679	QUALITY_CONTROL:QUALITY_CONTROL_VCF	COMPLETED	0	2026-09-18 10:06:41.632	17m 20s	17m 20s	101.9%	678.1 MB	7 GB	5.3 GB	1.7 GB
26	2b/ca6b48	116166	ANCESTRY_ESTIMATION:EXECUTE_TRACE (22)	FAILED	137	2026-09-18 10:23:14.547	2m 1s	2m 1s	-	-	-	-	-
7	9f/aca884	116137	ANCESTRY_ESTIMATION:EXECUTE_TRACE (3)	FAILED	137	2026-09-18 10:23:14.520	2m 1s	2m 1s	-	-	-	-	-
9	6c/dc00fa	116281	ANCESTRY_ESTIMATION:EXECUTE_TRACE (5)	FAILED	137	2026-09-18 10:23:14.673	2m 1s	2m 1s	-	-	-	-	-
16	03/4b42e5	117700	ANCESTRY_ESTIMATION:EXECUTE_TRACE (12)	FAILED	137	2026-09-18 10:23:15.498	2m	2m	-	-	-	-	-
37	98/4ac587	131844	ANCESTRY_ESTIMATION:EXECUTE_TRACE (33)	FAILED	137	2026-09-18 10:25:15.185	2m	2m	-	-	-	-	-
14	f9/a13b55	131968	ANCESTRY_ESTIMATION:EXECUTE_TRACE (10)	FAILED	137	2026-09-18 10:25:15.355	2m 1s	2m	-	-	-	-	-
43	20/e80f99	133024	ANCESTRY_ESTIMATION:EXECUTE_TRACE (39)	FAILED	137	2026-09-18 10:25:15.794	2m	2m	-	-	-	-	-
30	6a/d133b5	132107	ANCESTRY_ESTIMATION:EXECUTE_TRACE (26)	FAILED	137	2026-09-18 10:25:15.485	2m 1s	2m	-	-	-	-	-
51	79/d74f72	145695	ANCESTRY_ESTIMATION:EXECUTE_TRACE (47)	FAILED	137	2026-09-18 10:27:15.224	2m 1s	2m 1s	-	-	-	-	-
49	15/b976d3	146386	ANCESTRY_ESTIMATION:EXECUTE_TRACE (45)	FAILED	137	2026-09-18 10:27:15.915	2m 1s	2m 1s	-	-	-	-	-
10	a4/bfe00f	146498	ANCESTRY_ESTIMATION:EXECUTE_TRACE (6)	FAILED	137	2026-09-18 10:27:16.050	2m 1s	2m 1s	-	-	-	-	-
36	a0/67ad88	146515	ANCESTRY_ESTIMATION:EXECUTE_TRACE (32)	FAILED	137	2026-09-18 10:27:16.079	2m 1s	2m 1s	-	-	-	-	-
40	94/f5af4b	159779	ANCESTRY_ESTIMATION:EXECUTE_TRACE (36)	FAILED	137	2026-09-18 10:29:15.848	2m 1s	2m 1s	-	-	-	-	-
17	ed/5fff61	160434	ANCESTRY_ESTIMATION:EXECUTE_TRACE (13)	FAILED	137	2026-09-18 10:29:16.693	2m 1s	2m 1s	-	-	-	-	-
41	96/7c655c	160536	ANCESTRY_ESTIMATION:EXECUTE_TRACE (37)	FAILED	137	2026-09-18 10:29:16.806	2m 1s	2m 1s	-	-	-	-	-
22	76/327edf	160508	ANCESTRY_ESTIMATION:EXECUTE_TRACE (18)	FAILED	137	2026-09-18 10:29:16.784	2m 1s	2m 1s	-	-	-	-	-
48	c2/10f18a	173851	ANCESTRY_ESTIMATION:EXECUTE_TRACE (44)	FAILED	137	2026-09-18 10:31:17.032	2m	2m	-	-	-	-	-
27	e7/1af2ef	174531	ANCESTRY_ESTIMATION:EXECUTE_TRACE (23)	FAILED	137	2026-09-18 10:31:17.889	2m 1s	2m	-	-	-	-	-
35	ee/495e2d	174620	ANCESTRY_ESTIMATION:EXECUTE_TRACE (31)	FAILED	137	2026-09-18 10:31:17.998	2m 1s	2m	-	-	-	-	-
52	75/97aca4	174740	ANCESTRY_ESTIMATION:EXECUTE_TRACE (14)	COMPLETED	0	2026-09-18 10:31:18.132	5m 26s	5m 25s	101.0%	6.9 GB	6.9 GB	10.4 GB	55.3 MB
55	f6/10496f	188666	ANCESTRY_ESTIMATION:EXECUTE_TRACE (34)	COMPLETED	0	2026-09-18 10:33:18.569	5m 24s	5m 23s	101.0%	6.9 GB	7 GB	10.4 GB	55.3 MB
53	8e/cd17af	187928	ANCESTRY_ESTIMATION:EXECUTE_TRACE (16)	COMPLETED	0	2026-09-18 10:33:17.175	5m 26s	5m 25s	101.0%	6.9 GB	7 GB	10.4 GB	55.3 MB
54	21/410cc0	188590	ANCESTRY_ESTIMATION:EXECUTE_TRACE (11)	COMPLETED	0	2026-09-18 10:33:18.442	5m 25s	5m 25s	100.9%	6.9 GB	7 GB	10.4 GB	55.3 MB
99	f6/4d597a	122016	PHASING:EAGLE (chunk_1_0100000001_0120000000.vcf.gz)	COMPLETED	0	2026-09-18 10:24:03.136	15m 57s	15m 56s	395.2%	590.5 MB	810.6 MB	158.9 MB	19.3 MB
116	06/961301	122031	PHASING:EAGLE (chunk_13_0040000001_0060000000.vcf.gz)	COMPLETED	0	2026-09-18 10:24:03.141	17m 55s	17m 54s	395.5%	645.7 MB	837.5 MB	175.6 MB	21.9 MB
56	7b/c3672f	201661	ANCESTRY_ESTIMATION:EXECUTE_TRACE (17)	COMPLETED	0	2026-09-18 10:36:44.215	5m 25s	5m 25s	101.0%	6.9 GB	7 GB	10.4 GB	55.3 MB
104	4d/41679a	122012	PHASING:EAGLE (chunk_1_0200000001_0220000000.vcf.gz)	COMPLETED	0	2026-09-18 10:24:03.130	19m 44s	19m 43s	395.6%	670.6 MB	915.3 MB	177.8 MB	23.8 MB
57	ef/4eba69	208758	ANCESTRY_ESTIMATION:EXECUTE_TRACE (46)	COMPLETED	0	2026-09-18 10:38:42.539	5m 25s	5m 24s	101.0%	6.9 GB	7 GB	10.4 GB	55.3 MB
58	24/91ee6d	209401	ANCESTRY_ESTIMATION:EXECUTE_TRACE (19)	COMPLETED	0	2026-09-18 10:38:43.105	5m 25s	5m 25s	100.9%	6.9 GB	7 GB	10.4 GB	55.3 MB
59	2c/070d1d	209971	ANCESTRY_ESTIMATION:EXECUTE_TRACE (8)	COMPLETED	0	2026-09-18 10:38:43.889	5m 25s	5m 25s	101.0%	6.9 GB	7 GB	10.4 GB	55.3 MB
112	61/b68c5f	122006	PHASING:EAGLE (chunk_12_0100000001_0120000000.vcf.gz)	COMPLETED	0	2026-09-18 10:24:03.122	20m 54s	20m 53s	395.3%	686.8 MB	1001.2 MB	181.2 MB	25.1 MB
