sample	population	voting_popluation	voting	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
HG02165	EAS	EAS	1.0	-186.82	-187.913	88.3387	-33.7405	9.94221	-6.35472	21.0267	43.2928
HG02166	EAS	EAS	1.0	-189.856	-193.597	94.5326	-40.4117	9.8065	-8.6537	19.5265	42.8851
HG02178	EAS	EAS	1.0	-185.593	-192.801	103.129	-38.173	7.23983	-5.91213	22.7967	51.8029
HG02179	EAS	EAS	1.0	-186.66	-190.855	92.3914	-36.5616	10.8351	-5.82148	17.8312	43.5452
HG02180	EAS	EAS	1.0	-191.5	-196.676	100.094	-41.6869	6.3861	-7.15213	18.6612	47.3941
HG02181	EAS	EAS	1.0	-185.601	-191.164	91.4741	-44.9261	8.93478	-8.47694	21.104	51.0061
HG02182	EAS	EAS	1.0	-188.346	-193.346	98.9282	-35.4031	10.4065	-10.9065	19.681	42.2882
HG02184	EAS	EAS	1.0	-189.428	-192.059	98.1869	-44.8979	10.599	-10.2009	18.4422	43.2416
HG02185	EAS	EAS	1.0	-188.8	-190.359	95.6819	-44.4039	6.80709	-11.1716	13.7275	38.3752
HG02186	EAS	EAS	1.0	-188.346	-189.875	96.4503	-40.3478	11.7738	-9.22303	24.4329	45.2536
HG02187	EAS	EAS	1.0	-188.327	-192.749	89.6894	-37.141	8.39504	-6.24406	22.6222	44.6165
HG02188	EAS	EAS	1.0	-189.014	-194.046	96.8608	-40.4624	6.6063	-8.6133	19.7026	45.4615
HG02189	EAS	EAS	1.0	-192.284	-195.582	92.3192	-36.5102	7.21406	-8.54495	18.2818	46.5546
HG02190	EAS	EAS	1.0	-187.38	-191.584	95.9095	-41.0982	10.0094	-9.294	19.1374	44.5063
HG02215	EUR	EUR	1.0	6.09508	200.652	-7.33517	-15.4499	15.4232	-44.8621	-98.5637	16.2143
HG02220	EUR	EUR	1.0	14.4025	198.993	-1.19592	-15.48	23.6122	-49.5999	-67.3098	8.07752
HG02221	EUR	EUR	1.0	19.6343	204.053	1.52001	-20.2077	37.8088	-56.3115	-74.0629	15.9663
HG02222	EUR	EUR	1.0	16.6173	199.267	1.89576	-17.1895	28.4081	-50.1471	-71.8426	16.9225
HG02223	EUR	EUR	1.0	17.808	203.124	-2.42958	-13.243	32.288	-53.0538	-69.2681	13.5962
HG02224	EUR	EUR	1.0	11.7244	206.209	-3.76981	-14.0133	28.8571	-55.3453	-66.2866	4.47243
HG02225	EUR	EUR	1.0	15.567	204.716	-2.67793	-12.2456	32.0079	-51.9358	-62.3136	8.87241
HG02229	EUR	EUR	1.0	14.1284	208.126	-3.84245	-11.2377	28.8273	-54.3909	-66.2614	11.9108
HG02230	EUR	EUR	1.0	14.0445	206.82	-0.198537	-13.3465	29.1858	-55.0136	-64.3011	11.9602
HG02231	EUR	EUR	1.0	12.861	204.395	-8.09748	-13.8829	30.5492	-54.1114	-69.3654	9.624
HG02232	EUR	EUR	1.0	25.332	203.027	3.5031	-15.2132	35.9986	-57.7951	-59.4165	7.86828
HG02233	EUR	EUR	1.0	24.7559	197.599	-1.45049	-15.5643	36.472	-53.4268	-53.6903	1.89352
HG02234	EUR	EUR	1.0	26.6654	201.001	3.59983	-17.4741	38.9896	-57.9323	-51.5394	3.14376
HG02235	EUR	EUR	1.0	18.2877	201.316	-1.45982	-15.0319	33.2776	-53.378	-61.2254	17.1937
HG02236	EUR	EUR	1.0	19.6892	202.775	-5.31008	-19.2873	26.3253	-55.0258	-67.0592	12.2045
HG02237	EUR	EUR	1.0	14.5877	199.639	-3.37792	-18.799	27.159	-55.2798	-59.9483	11.0223
HG02238	EUR	EUR	1.0	23.8955	201.495	-5.16866	-19.1926	38.9746	-59.4436	-65.8184	11.178
HG02239	EUR	EUR	1.0	24.1873	190.688	-1.74869	-9.72315	29.1166	-47.5219	-48.0247	5.48737
HG02240	EUR	EUR	1.0	23.6198	189.879	-4.4464	-12.3524	32.4941	-52.6528	-58.7048	8.75076
HG02250	EAS	EAS	1.0	-186.578	-189.328	94.9375	-40.3467	10.8261	-9.42843	21.8427	38.9329
HG02255	AFR	AFR	1.0	440.532	-190.753	-13.3425	-16.5946	99.3355	94.044	-43.797	-7.54034
